,date,account_value
0,2021-10-01,1000000.0
1,2021-10-04,996161.046403206
2,2021-10-05,1010186.3139723969
3,2021-10-06,1014754.2450301514
4,2021-10-07,1024565.6631869127
5,2021-10-08,1021509.2546175767
6,2021-10-11,1019158.7346133043
7,2021-10-12,1023672.157159691
8,2021-10-13,1027247.1304415513
9,2021-10-14,1038379.0172976304
10,2021-10-15,1045756.8959749986
11,2021-10-18,1049823.8193606187
12,2021-10-19,1048410.868890648
13,2021-10-20,1050771.224496727
14,2021-10-21,1058541.664544945
15,2021-10-22,1060204.7816714097
16,2021-10-25,1074172.7074221421
17,2021-10-26,1075957.160623436
18,2021-10-27,1074427.0564822007
19,2021-10-28,1083993.5604037095
20,2021-10-29,1085075.4245089341
21,2021-11-01,1096865.630319481
22,2021-11-02,1095988.9000948716
23,2021-11-03,1111485.3480929185
24,2021-11-04,1120310.5609225084
25,2021-11-05,1127198.1993807603
26,2021-11-08,1114317.2276552964
27,2021-11-09,1104488.597909813
28,2021-11-10,1103705.1895388414
29,2021-11-11,1101720.088724022
30,2021-11-12,1103755.3321017076
31,2021-11-15,1105619.1585940171
32,2021-11-16,1112108.6566408921
33,2021-11-17,1114974.8767184068
34,2021-11-18,1120276.0614260484
35,2021-11-19,1121237.2792147447
36,2021-11-22,1123514.962060814
37,2021-11-23,1122189.3714846421
38,2021-11-24,1121984.859201317
39,2021-11-26,1098628.1064699937
40,2021-11-29,1109336.3400515367
41,2021-11-30,1088415.0981081773
42,2021-12-01,1075065.894204979
43,2021-12-02,1088642.368020897
44,2021-12-03,1082754.96538723
45,2021-12-06,1098120.3664950181
46,2021-12-07,1113302.4827822496
47,2021-12-08,1113299.8113192369
48,2021-12-09,1103910.3653048326
49,2021-12-10,1116498.1977175523
50,2021-12-13,1107270.1896151353
51,2021-12-14,1104137.249093895
52,2021-12-15,1116831.6653689195
53,2021-12-16,1107202.8697451402
54,2021-12-17,1094311.957498436
55,2021-12-20,1085025.7271212388
56,2021-12-21,1099241.2946871568
57,2021-12-22,1113210.2033938218
58,2021-12-23,1122703.7092531968
59,2021-12-27,1134099.0819491197
60,2021-12-28,1137303.6902254869
61,2021-12-29,1140921.4439944078
62,2021-12-30,1137065.135888939
63,2021-12-31,1139145.4288882066
64,2022-01-03,1156672.9536989976
65,2022-01-04,1156385.2494143296
66,2022-01-05,1139001.2508181382
67,2022-01-06,1135979.074914818
68,2022-01-07,1126393.4614657213
69,2022-01-10,1118573.108835106
70,2022-01-11,1123684.1950014879
71,2022-01-12,1127845.672632103
72,2022-01-13,1116661.1683138658
73,2022-01-14,1114858.8469942857
74,2022-01-18,1096131.993173485
75,2022-01-19,1088976.597848778
76,2022-01-20,1075222.3712405015
77,2022-01-21,1059295.1706484605
78,2022-01-24,1064093.533090477
79,2022-01-25,1049098.0263613511
80,2022-01-26,1042599.832864647
81,2022-01-27,1033032.9094485093
82,2022-01-28,1050429.8708132554
83,2022-01-31,1072942.4131258775
84,2022-02-01,1075821.9078463365
85,2022-02-02,1078705.5707339097
86,2022-02-03,1061875.8650301744
87,2022-02-04,1070747.743524437
88,2022-02-07,1070564.164819603
89,2022-02-08,1080307.1740359117
90,2022-02-09,1087847.625833397
91,2022-02-10,1072478.972268944
92,2022-02-11,1054629.1540011216
93,2022-02-14,1056283.4314822007
94,2022-02-15,1069340.7844485093
95,2022-02-16,1071885.0145663072
96,2022-02-17,1060915.6492403795
97,2022-02-18,1058513.984491234
98,2022-02-22,1038749.9554690171
99,2022-02-23,1017080.8667544175
100,2022-02-24,1019846.9540957261
101,2022-02-25,1046274.2591036607
102,2022-02-28,1043097.7782992173
103,2022-03-01,1032031.2616518785
104,2022-03-02,1048424.1889437486
105,2022-03-03,1040477.4722536851
106,2022-03-04,1032242.5174807359
107,2022-03-07,997614.1732729722
108,2022-03-08,984914.6959170152
109,2022-03-09,1004026.1418551255
110,2022-03-10,1002913.9916018296
111,2022-03-11,987378.8911837388
112,2022-03-14,981639.1262606431
113,2022-03-15,1009084.2661379625
114,2022-03-16,1026956.191232567
115,2022-03-17,1039189.818612938
116,2022-03-18,1051590.9541262437
117,2022-03-21,1047676.1018008043
118,2022-03-22,1064866.5408877183
119,2022-03-23,1053877.8772982408
120,2022-03-24,1061706.2105349351
121,2022-03-25,1064996.419381981
122,2022-03-28,1081802.409906273
123,2022-03-29,1096243.0591830064
124,2022-03-30,1087849.5906924058
125,2022-03-31,1075747.711404686
126,2022-04-01,1081648.7908724595
127,2022-04-04,1092492.3953341295
128,2022-04-05,1079642.6874483873
129,2022-04-06,1072122.8736971666
130,2022-04-07,1081329.6765841295
131,2022-04-08,1078578.6312197496
132,2022-04-11,1066387.3604372789
133,2022-04-12,1067695.3484438707
134,2022-04-13,1083891.566812401
135,2022-04-14,1076158.998514061
136,2022-04-18,1073323.6610049058
137,2022-04-19,1097063.6389712144
138,2022-04-20,1098107.407159691
139,2022-04-21,1092343.6496981431
140,2022-04-22,1071155.8472994615
141,2022-04-25,1077368.2929476548
142,2022-04-26,1042035.898553734
143,2022-04-27,1044084.090967064
144,2022-04-28,1062394.7652834703
145,2022-04-29,1021338.0182741929
146,2022-05-02,1021489.880823021
147,2022-05-03,1018750.7164400865
148,2022-05-04,1045073.7487887193
149,2022-05-05,1006375.9650515367
150,2022-05-06,1000830.0614870836
151,2022-05-09,980389.8525332261
152,2022-05-10,975405.2973727037
153,2022-05-11,956900.9021395494
154,2022-05-12,959765.889505272
155,2022-05-13,984904.4097842027
156,2022-05-16,977426.9415987779
157,2022-05-17,985081.2757509996
158,2022-05-18,921220.3656557847
159,2022-05-19,912744.661569481
160,2022-05-20,906297.7156313707
161,2022-05-23,919460.0465334703
162,2022-05-24,916622.2861269761
163,2022-05-25,928437.9695986558
164,2022-05-26,954650.6951845933
165,2022-05-27,975858.077005272
166,2022-05-31,974565.9730776597
167,2022-06-01,963082.0129030992
168,2022-06-02,984468.2922915269
169,2022-06-03,965486.154336815
170,2022-06-06,970285.138421898
171,2022-06-07,971818.1624544908
172,2022-06-08,962847.1137636949
173,2022-06-09,946989.4466952134
174,2022-06-10,926850.9094485093
175,2022-06-13,896199.5076693345
176,2022-06-14,890178.6956270982
177,2022-06-15,902276.9723147203
178,2022-06-16,877838.2836092759
179,2022-06-17,880537.4232424546
180,2022-06-21,904817.3751620103
181,2022-06-22,903659.4453371812
182,2022-06-23,919643.8289431382
183,2022-06-24,945563.6825960923
184,2022-06-27,939548.1459597398
185,2022-06-28,915364.8479555894
186,2022-06-29,918142.2913149644
187,2022-06-30,912318.8897188951
188,2022-07-01,927115.884302025
189,2022-07-05,933287.8592470933
190,2022-07-06,933324.1183413316
191,2022-07-07,944881.2993258287
192,2022-07-08,944043.4751223375
193,2022-07-11,931286.223276024
194,2022-07-12,927247.6280916978
195,2022-07-13,931083.6952151109
196,2022-07-14,931136.9850405504
197,2022-07-15,939715.7873476793
198,2022-07-18,936075.200921898
199,2022-07-19,954715.4898470689
200,2022-07-20,958733.1983279039
201,2022-07-21,970724.5738772203
202,2022-07-22,971332.01125515
203,2022-07-25,969816.6071413804
204,2022-07-26,953777.3081454088
205,2022-07-27,974142.3678225328
206,2022-07-28,990267.5160464097
207,2022-07-29,1004556.392907982
208,2022-08-01,1013417.9826144029
209,2022-08-02,1005903.2046297838
210,2022-08-03,1021203.9854830552
211,2022-08-04,1019796.3669527818
212,2022-08-05,1010046.0580996324
213,2022-08-08,1011996.5593508531
214,2022-08-09,1003322.7265871812
215,2022-08-10,1020903.7169588853
216,2022-08-11,1017102.5905703355
217,2022-08-12,1032906.703454857
218,2022-08-15,1041608.114694481
219,2022-08-16,1053235.8867739488
220,2022-08-17,1046119.2568911363
221,2022-08-18,1047764.8179110338
222,2022-08-19,1035415.8018130113
223,2022-08-22,1016035.4214571763
224,2022-08-23,1015140.0976504136
225,2022-08-24,1018558.8812807847
226,2022-08-25,1026874.3681734849
227,2022-08-26,994801.4315737535
228,2022-08-29,991414.8440645982
229,2022-08-30,980769.7314699937
230,2022-08-31,972997.2471865464
231,2022-09-01,980102.3783205796
232,2022-09-02,969137.8500460435
233,2022-09-06,965342.8682192613
