date,account_value
2021-10-01,1000000.0
2021-10-04,990574.6455164986
2021-10-05,999656.560502364
2021-10-06,1002637.2466394025
2021-10-07,1012482.5122383039
2021-10-08,1012229.3138015111
2021-10-11,1004940.7265304396
2021-10-12,1001511.3386242893
2021-10-13,1001495.8622254562
2021-10-14,1017074.2232156451
2021-10-15,1028208.5817997096
2021-10-18,1027155.3900997022
2021-10-19,1032943.9046544586
2021-10-20,1037372.8858499513
2021-10-21,1037190.4691784104
2021-10-22,1039344.5335424772
2021-10-25,1041212.7397163314
2021-10-26,1041671.0004376635
2021-10-27,1033916.4142458431
2021-10-28,1040901.9599721152
2021-10-29,1043496.9879058771
2021-11-01,1046243.5935105638
2021-11-02,1050286.8027057296
2021-11-03,1053344.1880546326
2021-11-04,1052372.7026367004
2021-11-05,1058307.4464010203
2021-11-08,1061345.0310631809
2021-11-09,1058075.300418523
2021-11-10,1051082.471681035
2021-11-11,1046458.8975296255
2021-11-12,1051675.8095010067
2021-11-15,1051301.1896116037
2021-11-16,1052896.7380530736
2021-11-17,1046744.9833139386
2021-11-18,1044994.1018988858
2021-11-19,1037158.4922072919
2021-11-22,1037661.58896642
2021-11-23,1043329.2510538177
2021-11-24,1043054.7725686292
2021-11-26,1016689.1339976199
2021-11-29,1023581.821330893
