date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,991099.8207730104,990574.6455164986
2021-10-05,995078.7572087328,999656.560502364
2021-10-06,998228.2575062792,1002637.2466394025
2021-10-07,1013754.3360890428,1012482.5122383039
2021-10-08,1009113.4464139024,1012229.3138015111
2021-10-11,1005024.299506096,1004940.7265304396
2021-10-12,1012980.5291508714,1001511.3386242893
2021-10-13,1017953.0112446825,1001495.8622254562
2021-10-14,1028617.3887471239,1017074.2232156451
2021-10-15,1044364.8291729967,1028208.5817997096
2021-10-18,1057128.1538037339,1027155.3900997022
2021-10-19,1054144.7082470933,1032943.9046544586
2021-10-20,1053371.5193318406,1037372.8858499513
2021-10-21,1068842.0840748826,1037190.4691784104
2021-10-22,1065030.0915936509,1039344.5335424772
2021-10-25,1091440.7687176743,1041212.7397163314
2021-10-26,1091606.522780327,1041671.0004376635
2021-10-27,1094037.0526951829,1033916.4142458431
2021-10-28,1108568.8605526963,1040901.9599721152
2021-10-29,1111441.759486107,1043496.9879058771
2021-11-01,1131829.73229113,1046243.5935105638
2021-11-02,1124205.275942711,1050286.8027057296
2021-11-03,1144427.6491841355,1053344.1880546326
2021-11-04,1159842.4819211045,1052372.7026367004
2021-11-05,1167301.5858601609,1058307.4464010203
2021-11-08,1150781.4200429001,1061345.0310631809
2021-11-09,1129508.9018391648,1058075.300418523
2021-11-10,1125309.8088215867,1051082.471681035
2021-11-11,1122271.0509022751,1046458.8975296255
2021-11-12,1126028.029909996,1051675.8095010067
2021-11-15,1125088.9780911484,1051301.1896116037
2021-11-16,1142824.948988823,1052896.7380530736
2021-11-17,1150117.7786969224,1046744.9833139386
2021-11-18,1163157.1375683823,1044994.1018988858
2021-11-19,1168184.5444363633,1037158.4922072919
2021-11-22,1165256.8089589158,1037661.58896642
2021-11-23,1156803.7156552353,1043329.2510538177
2021-11-24,1159179.4212979355,1043054.7725686292
2021-11-26,1127573.949934868,1016689.1339976199
2021-11-29,1145089.0514668503,1023581.821330893
2021-11-30,1129617.424479393,1004581.241648719
2021-12-01,1109228.9798001328,991131.5682803923
2021-12-02,1125032.326067833,1009127.8889941637
2021-12-03,1103151.89591494,1007388.3872841356
2021-12-06,1115749.7890767136,1026235.4547455304
2021-12-07,1141774.3462323227,1040580.0281169752
2021-12-08,1144647.368079094,1041608.9810452805
2021-12-09,1124811.6401890793,1041607.2740895269
2021-12-10,1132657.598006157,1047908.4443556322
2021-12-13,1103484.0111149827,1038585.0520291493
2021-12-14,1097074.883551506,1035474.6372548327
2021-12-15,1110998.551634697,1046639.4934483625
2021-12-16,1086467.0022686997,1045771.6771432024
2021-12-17,1079062.2906674424,1030267.6256268226
2021-12-20,1061642.1983861008,1017645.256813769
2021-12-21,1089144.4188374558,1033974.9059296683
2021-12-22,1109009.7767514267,1041583.9456942269
2021-12-23,1124393.2146786728,1047313.2857828566
2021-12-27,1135349.8636349717,1057562.5309101238
2021-12-28,1135847.9999531785,1060354.3139437574
2021-12-29,1138116.7417210618,1062988.374265753
2021-12-30,1134021.825777916,1060350.4448440492
2021-12-31,1131310.3206318894,1058609.0085841666
2022-01-03,1163792.391905693,1065797.568248074
2022-01-04,1156710.536337761,1072049.0092032226
2022-01-05,1125501.20242968,1060613.543624213
2022-01-06,1122568.9714039841,1055642.4332813583
2022-01-07,1103866.1272114792,1055502.3491125081
2022-01-10,1097115.004897026,1050759.9708406439
2022-01-11,1107684.5236653367,1056095.4593383793
2022-01-12,1114988.7837323227,1057211.239416021
2022-01-13,1092577.8186978379,1052063.629848238
2022-01-14,1087486.7476300278,1046184.4190444371
2022-01-18,1066901.112608818,1030355.8183407617
2022-01-19,1047643.9080990831,1020456.1577518436
2022-01-20,1028553.0074109117,1011330.3171045842
2022-01-21,998394.7146863024,998220.3279312357
2022-01-24,1010402.4436406175,1001108.155675275
2022-01-25,993304.2372273485,999163.022695456
2022-01-26,988490.2598561327,995386.3261919615
2022-01-27,964529.8033703844,995173.4119109552
2022-01-28,985557.601900963,1011623.9134942136
2022-01-31,1023462.3261860887,1023462.903413388
2022-02-01,1029660.3353413622,1031426.9899747075
2022-02-02,1023518.5820988695,1037955.1853560493
2022-02-03,992198.4229611437,1022859.8928441457
2022-02-04,1020419.8486699144,1022235.829820608
2022-02-07,1018317.242323784,1022276.3415704949
2022-02-08,1032649.5825680773,1033103.3343218503
2022-02-09,1046317.6185101549,1041996.6875954616
2022-02-10,1028278.0580815355,1026659.5763517894
2022-02-11,998728.5317753832,1011990.6813871495
2022-02-14,1004427.5490178148,1006983.2697852672
2022-02-15,1026894.2671422045,1019296.4520128081
2022-02-16,1029827.0997418443,1017706.7072209007
2022-02-17,1002269.1102475206,999579.633696399
2022-02-18,996071.7009457628,992796.1915313601
2022-02-22,967020.6505612413,978737.931538329
2022-02-23,934704.3671292345,965195.9687622546
2022-02-24,956063.197981743,967878.051439453
2022-02-25,974989.0579556505,992201.0329585845
2022-02-28,981849.9935978929,987360.7892235103
2022-03-01,966963.4888142626,969949.9543332437
2022-03-02,987272.3361043016,987324.3741674323
2022-03-03,964916.8798588793,984507.5557827451
2022-03-04,949588.4170521776,979267.8844013149
2022-03-07,903050.2744664232,956037.3545645248
2022-03-08,904931.3416050951,950655.55066734
2022-03-09,934038.938998131,969696.5283023505
2022-03-10,940678.9415463487,966428.5046134462
2022-03-11,922584.0081776659,959731.6620036429
2022-03-14,907201.2962521593,959762.1596131083
2022-03-15,937580.6835621874,977215.2132090154
2022-03-16,969565.5334042589,992327.8028725561
2022-03-17,985723.682558922,1004495.0972816844
2022-03-18,1006474.3326367418,1012482.170847153
2022-03-21,998045.0001133959,1006599.204740694
2022-03-22,1022818.3486317674,1014012.513578833
2022-03-23,1010126.4848927538,1000933.3634061004
2022-03-24,1017996.5033520738,1011113.3061297692
2022-03-25,1016223.4921750108,1015579.1575695408
2022-03-28,1043323.8041791002,1018336.5738940007
2022-03-29,1061501.521090416,1028191.9674303739
2022-03-30,1045374.1247777025,1026287.2324033914
2022-03-31,1025311.2662724535,1010251.2934741717
2022-04-01,1026585.6941670458,1014327.3900168579
2022-04-04,1049640.406348137,1017345.7429775272
2022-04-05,1025033.5908383409,1009168.4007440506
2022-04-06,998875.1374959032,1004953.9269882677
2022-04-07,1003973.6277340929,1007490.1218470535
2022-04-08,994718.901762871,1011497.257377292
2022-04-11,976263.8426732103,999464.4710815522
2022-04-12,978424.8033093492,996909.0445212752
2022-04-13,1002754.2063855211,1006937.1819799184
2022-04-14,988732.5637425462,1003634.7915818405
2022-04-18,991725.4172047655,1002482.9378392716
2022-04-19,1020488.9770421068,1017034.6218421602
2022-04-20,1007354.6603077928,1024305.6843674944
2022-04-21,997600.1779851,1013584.2952787653
2022-04-22,974433.6214245836,984995.1761430401
2022-04-25,981471.8604115526,991930.4235731044
2022-04-26,931814.5643796007,968354.405891774
2022-04-27,931925.4750966112,970153.3096620296
2022-04-28,951045.8473729173,988053.8132594957
2022-04-29,902718.491694359,960693.5884693546
2022-05-02,915908.1990078966,963149.1012195174
2022-05-03,913636.5941990892,965109.369207019
2022-05-04,940460.8769940416,992268.2870152786
2022-05-05,887755.3354558031,961298.3059943506
2022-05-06,876504.8744916002,958425.9546491443
2022-05-09,839150.9472416918,939383.15626133
2022-05-10,836656.8175801317,936908.1273170502
2022-05-11,806674.2260273973,927392.7024682808
2022-05-12,812216.0146702806,924368.5458580491
2022-05-13,844193.893118767,937954.548092568
2022-05-16,825960.4355610887,938734.1147852638
2022-05-17,846799.0934933702,951294.9762926606
2022-05-18,791433.7541722337,917370.1410650994
2022-05-19,791987.6403607408,910467.6102869802
2022-05-20,778188.0570706407,910723.0846647779
2022-05-23,784008.2245739977,928736.5887331362
2022-05-24,763835.320235161,930145.9652004068
2022-05-25,785393.9702328722,935729.4174706239
2022-05-26,823911.6150769274,950788.0673323491
2022-05-27,852176.1943196337,967561.4680456745
2022-05-31,856499.0737446825,961069.6877204106
2022-06-01,847575.7285870592,955916.5020971658
2022-06-02,873512.8587483446,968590.4209739799
2022-06-03,847963.7323521654,958435.5136013648
2022-06-06,856443.1167210619,958904.016057219
2022-06-07,854337.2328785936,966605.3452295252
2022-06-08,849293.5697011034,958761.769744414
2022-06-09,833941.3222416918,940172.3388047713
2022-06-10,800688.1120499651,914536.1393258254
2022-06-13,763722.081417946,889015.045563201
2022-06-14,763112.2479466478,884589.5920762658
2022-06-15,784560.0359334032,893436.9713415785
2022-06-16,746153.1500863115,871836.7549451077
2022-06-17,754300.0472973863,870721.2593600919
2022-06-21,775875.4711216966,889408.6126614695
2022-06-22,774375.6589173357,888035.9357429025
2022-06-23,786540.6709507982,893694.2095736548
2022-06-24,816537.783005623,917679.2138535619
2022-06-27,807983.2299393694,915860.7938891894
2022-06-28,775709.4946316759,901549.1078652652
2022-06-29,775098.2070626299,903947.2669021052
2022-06-30,763710.495726494,896551.1983170782
2022-07-01,777764.593426613,905926.7665910978
2022-07-05,795151.1542519609,902155.9306356908
2022-07-06,792540.3064106981,904191.0770822527
2022-07-07,812982.5539120714,914296.1413468609
2022-07-08,813093.4253052751,912944.4030855387
2022-07-11,790818.4677742998,908157.7008626044
2022-07-12,786041.0062932054,902549.4977339593
2022-07-13,792484.4080857317,896474.2715111133
2022-07-14,791817.2392396013,892319.4843081833
2022-07-15,804594.3273457567,911490.9871598236
2022-07-18,806927.2014683763,905208.6503055337
2022-07-19,831647.1086949388,927187.0711984901
2022-07-20,845312.013808159,928579.264311174
2022-07-21,864643.0762394945,933300.4194331678
2022-07-22,859643.5734623949,929291.5200486506
2022-07-25,852255.743986992,931935.2531199169
2022-07-26,824814.6071728746,925278.5808688496
2022-07-27,856033.1340779344,937981.6317905261
2022-07-28,870753.7125844042,947654.6655538832
2022-07-29,904527.5096425096,956845.7688094575
2022-08-01,909026.6376065294,955484.4146973898
2022-08-02,902804.8215626756,943766.6755352501
2022-08-03,924802.4074620287,955895.2220487702
2022-08-04,928579.6506642381,953399.1975487205
2022-08-05,912748.6019696275,955632.1232686064
2022-08-08,916859.0955342333,956479.0009165215
2022-08-09,902250.1152867357,954785.5870118419
2022-08-10,927691.8876828233,970374.189736553
2022-08-11,922970.6647442858,971165.4206268988
2022-08-12,943857.4449605028,983528.4459624465
2022-08-15,950356.4955319444,987938.7644416991
2022-08-16,960855.383730797,994917.9375331576
2022-08-17,950523.3261937181,989916.2157837874
2022-08-18,950245.5875042955,990461.5312485562
2022-08-19,930636.2575634996,981946.2117758553
2022-08-22,904805.6719655077,963210.5516266491
2022-08-23,907360.7487935106,958723.6477325823
2022-08-24,911249.2159298937,960461.1010957062
2022-08-25,922137.2575406114,969857.664925496
2022-08-26,887029.7397488634,940481.4684917589
2022-08-29,882307.9658650438,935109.2235467946
2022-08-30,872475.737284569,926133.0260206059
2022-08-31,863865.4059475939,917963.2512909707
2022-09-01,871753.453551201,922216.2453482611
2022-09-02,863754.2237156908,912370.183170008
2022-09-06,861976.7094639818,907326.2996135225
2022-09-07,888418.1176365892,920027.2452897694
2022-09-08,896695.4485005419,925656.7284668101
2022-09-09,913693.4460209886,936645.0854354113
2022-09-12,925470.0463627855,943334.6450339991
2022-09-13,877752.795222191,906151.4019682793
2022-09-14,889028.9376782457,907028.8341241849
2022-09-15,884474.0876683275,901981.1383665162
2022-09-16,877363.707823662,897920.1199329871
2022-09-19,889777.1929997484,903666.7002747288
2022-09-20,874691.7890576402,894535.2835720076
2022-09-21,853983.8714036028,879315.2125945113
2022-09-22,834278.0607193987,876195.1819694492
2022-09-23,815073.3167904894,862029.1561698371
2022-09-26,813235.9052456896,852427.2455628823
2022-09-27,815796.384108452,848761.8425745262
2022-09-28,837840.039198784,864748.0521927895
2022-09-29,808894.0891617815,851401.7634446094
2022-09-30,792973.846325783,836832.8391886088
2022-10-03,793753.8868149797,859129.9487207732
2022-10-04,821476.0610245744,883176.403407812
2022-10-05,816632.9783066789,881939.7139642864
2022-10-06,810843.4563283006,871832.9427439246
2022-10-07,782954.7622136156,853475.3732941538
2022-10-10,778111.7877854387,850739.6353077653
2022-10-11,771765.7419251482,851797.3788897824
2022-10-12,773769.5257061998,850971.7812902628
2022-10-13,782231.8100327532,875089.359133704
2022-10-14,753007.4307030718,863323.1993266856
2022-10-17,783567.8723362962,879374.6715532638
2022-10-18,794367.2991131822,889220.7337315168
2022-10-19,785460.5941933672,886307.8137378986
2022-10-20,770263.6314038316,883679.5001669403
2022-10-21,792697.270783333,905498.54829103
2022-10-24,795981.9786061327,917648.3179544206
2022-10-25,815910.2063168566,927469.34478162
2022-10-26,809341.9728497545,927538.3626925929
2022-10-27,806224.9632634203,933194.9295675916
2022-10-28,806949.4580182115,957331.4546198986
2022-10-31,801772.3108281175,953577.7451205532
2022-11-01,793645.5351094286,951254.4645427738
2022-11-02,763641.8497723619,936529.9797190897
2022-11-03,759077.055529503,932261.8506541168
2022-11-04,765423.4035710375,943972.0792109404
2022-11-07,760079.959902672,956317.6366992756
2022-11-08,758187.5864476244,966042.7326131193
2022-11-09,735030.528349785,947197.5428030535
2022-11-10,788748.4582356493,982197.7032568944
2022-11-11,807674.618357567,983144.153323773
2022-11-14,794871.253287224,976992.6261787383
2022-11-15,805726.0691327135,978630.5071228988
2022-11-16,793423.9805401842,977491.6262440578
2022-11-17,783793.8470562975,977272.908313489
2022-11-18,784851.8284672777,983080.9959608875
2022-11-21,773496.2578915636,981758.1052518021
2022-11-22,782236.0431355516,993347.4244427414
2022-11-23,793536.0572957079,996142.848981983
2022-11-25,793981.4760235826,1000599.2552665843
2022-11-28,789082.473486809,986104.0146006166
2022-11-29,786577.714552788,986193.4590821085
2022-11-30,813686.9519948045,1007670.7177657906
2022-12-01,813575.2917050401,1001997.0244347303
2022-12-02,812517.5140332262,1003012.7769052073
2022-12-05,789082.0304898302,988948.4856685133
2022-12-06,776779.6328724901,978730.0795418622
2022-12-07,772103.8387669603,978776.1673472109
2022-12-08,779562.867323784,984123.604535222
2022-12-09,776167.2118596117,975237.7618669271
2022-12-12,778115.9618290941,990636.3235177308
2022-12-13,778116.0504254381,993654.4488842995
2022-12-14,772326.5382908861,989509.2775321152
2022-12-15,759634.459410576,967248.5261575038
2022-12-16,745439.7118824999,959040.3449234111
2022-12-19,733472.3189534227,954294.0975518386
2022-12-20,724932.4790028612,956980.0493287453
2022-12-21,736487.1835774462,972325.1263659345
2022-12-22,717564.9066380541,962158.2703030438
2022-12-23,722476.8837193529,967298.3692655106
2022-12-27,710755.37562838,968394.57625051
2022-12-28,704782.8615063707,957736.685915817
2022-12-29,722923.8051556627,967789.858725514
2022-12-30,720970.1971692125,965647.1740664716
2023-01-03,716672.3349331896,965330.2492815424
2023-01-04,727054.8380841295,969216.4185473715
2023-01-05,720300.7691830675,959320.5132611117
2023-01-06,737214.1377057115,979728.4210636519
2023-01-09,741679.3415669481,976437.6379646987
2023-01-10,751000.8916195909,981869.3987669407
2023-01-11,771262.9093464891,989703.3015027811
2023-01-12,772546.6633824388,996023.7034703776
2023-01-13,779803.2247952501,999305.1552112107
2023-01-17,780361.1964291612,987892.4490422499
2023-01-18,770201.8239125292,970008.5598141194
2023-01-19,757419.3559941332,962655.5634126097
2023-01-20,775783.6283978502,972296.2219151725
2023-01-23,787896.3477849046,979697.8096571362
2023-01-24,787003.3695515672,982739.2634190051
2023-01-25,791022.4805439989,983027.056159072
2023-01-26,807209.5423840563,989015.7397252074
2023-01-27,825517.5431775133,989850.8962769475
2023-01-30,811451.3616017381,982247.7739590016
2023-01-31,830038.9952916185,992996.0191515884
2023-02-01,845779.4554966966,993197.6675246205
2023-02-02,871678.6379612962,992060.9487897343
2023-02-03,844830.6747883837,988334.0953942464
2023-02-06,843602.6213673631,987314.7014181616
2023-02-07,845556.6418561022,995054.2663993498
2023-02-08,838355.9423512499,989004.1324260825
2023-02-09,836792.7040165941,981746.384155627
2023-02-10,826968.9883603136,986681.0794424036
2023-02-13,839081.8032483141,997653.9600121718
2023-02-14,849128.5179661791,993090.12931214
2023-02-15,859064.016882805,994219.9064269615
2023-02-16,840309.1505383531,981658.191441688
2023-02-17,840476.6831769029,985440.691594745
2023-02-21,812399.9172658006,965132.697602319
2023-02-22,816530.3360165636,962671.0398114428
2023-02-23,815860.5315999071,965841.1980371374
2023-02-24,803022.687170891,956024.0403096463
2023-02-27,812958.1365574877,958126.4408129024
2023-02-28,812399.9965161363,951356.4266997923
2023-03-01,802185.4420651476,951506.1836179132
2023-03-02,799505.9371136705,961461.4909644003
2023-03-03,816698.1594914476,972747.1996252891
2023-03-06,810725.7511586229,973926.250862866
2023-03-07,799673.0374363939,957175.8940522152
2023-03-08,798221.7012280504,955484.4146973898
2023-03-09,779186.732848076,939650.0103441519
2023-03-10,771427.5232228319,929593.0822317968
2023-03-13,773044.8799828569,926956.6321717462
2023-03-14,786162.5356167833,936752.5667493668
2023-03-15,784989.6237496416,928571.4123147071
2023-03-16,799167.6749352495,939407.9640182831
2023-03-17,788952.1334218065,928204.6444217709
2023-03-20,792367.7301701586,939350.5534064351
2023-03-21,814259.4666527788,948556.8485682169
2023-03-22,796118.9367150347,933102.5832613187
2023-03-23,795278.8027276079,935291.5833198105
2023-03-24,792703.452462105,939145.1497307448
2023-03-27,794327.4900082628,944812.8118181423
2023-03-28,793375.6735657732,943710.7442850552
2023-03-29,808436.7421673815,953130.5796116197
2023-03-30,815491.0317620317,957250.7725112756
2023-03-31,837270.5342549364,969343.9850406949
2023-04-03,829600.3297032396,978870.1637107125
2023-04-04,828256.3394841234,973079.6008090515
2023-04-05,811292.0760296861,975420.0647414179
2023-04-06,811460.146237282,975494.9432004783
2023-04-10,815043.5075520555,978443.993757549
2023-04-11,816331.494276909,981306.7861505348
2023-04-12,803678.1935414354,980191.3474640441
2023-04-13,821426.5616253893,991354.49670182
2023-04-14,822490.568243889,987182.1278546274
2023-04-17,828313.6670331041,990116.0434040157
2023-04-18,829657.4581479112,989808.6775713069
2023-04-19,828873.6820439378,987489.2660932357
2023-04-20,816108.46988192,984273.3614533431
2023-04-21,825122.3062619249,984924.166783688
2023-04-24,825010.3450573961,986859.6270142363
2023-04-25,808661.3733662645,976821.5892122217
2023-04-26,804518.0229100267,970151.602706276
2023-04-27,825737.7732228319,985425.2151959118
2023-04-28,827865.708781151,993349.1313984953
2023-05-01,819691.4170712511,991995.6292828942
2023-05-02,820530.5097455065,981299.2755452188
2023-05-03,814035.6179284136,973425.088653592
