date,a2c,dji
2021-10-01,1000000.0,1000000.0
2021-10-04,984878.5979193727,990574.6455164986
2021-10-05,990131.3201389466,999656.560502364
2021-10-06,990847.7071857606,1002637.2466394025
2021-10-07,1005045.3131046449,1012482.5122383039
2021-10-08,999989.7004566346,1012229.3138015111
2021-10-11,997959.044176117,1004940.7265304396
2021-10-12,1002682.343370453,1001511.3386242893
2021-10-13,1008861.5125599061,1001495.8622254562
2021-10-14,1026178.2972126161,1017074.2232156451
2021-10-15,1035718.8987674867,1028208.5817997096
2021-10-18,1041885.77410318,1027155.3900997022
2021-10-19,1042983.7375965272,1032943.9046544586
2021-10-20,1046642.8240680848,1037372.8858499513
2021-10-21,1053240.2535495912,1037190.4691784104
2021-10-22,1050337.7246036683,1039344.5335424772
2021-10-25,1068907.311136261,1041212.7397163314
2021-10-26,1070423.0932026063,1041671.0004376635
2021-10-27,1064332.3970585023,1033916.4142458431
2021-10-28,1076769.6334705506,1040901.9599721152
2021-10-29,1075793.8592777406,1043496.9879058771
2021-11-01,1087409.4685230409,1046243.5935105638
2021-11-02,1089295.027215973,1050286.8027057296
2021-11-03,1104999.594240204,1053344.1880546326
2021-11-04,1112582.4505939637,1052372.7026367004
2021-11-05,1120450.336565033,1058307.4464010203
2021-11-08,1118562.2745151673,1061345.0310631809
2021-11-09,1110132.019327179,1058075.300418523
2021-11-10,1104348.711214081,1051082.471681035
2021-11-11,1107028.1341953431,1046458.8975296255
2021-11-12,1112943.3257846986,1051675.8095010067
2021-11-15,1110019.0910282289,1051301.1896116037
2021-11-16,1117595.3934269105,1052896.7380530736
2021-11-17,1117806.113657013,1046744.9833139386
2021-11-18,1122206.5161457215,1044994.1018988858
2021-11-19,1123822.8014698182,1037158.4922072919
2021-11-22,1123160.933427826,1037661.58896642
2021-11-23,1119376.2602787171,1043329.2510538177
2021-11-24,1116834.5804615174,1043054.7725686292
2021-11-26,1091674.030756012,1016689.1339976199
2021-11-29,1103013.1410236512,1023581.821330893
