train/entropy_loss,train/explained_variance,time/total_timesteps,train/policy_loss,time/time_elapsed,train/reward,train/std,time/iterations,train/n_updates,time/fps,train/value_loss,train/learning_rate
-12.819625854492188,-10.914766311645508,500,-0.1640159636735916,3,-0.025671642,1.005683422088623,100,99,163,0.42308998107910156,0.0007
-12.814737319946289,-0.8590495586395264,1000,-10.848217010498047,7,-1.042364,1.005026936531067,200,199,137,0.9953333735466003,0.0007
-12.81584358215332,-1.9212419986724854,1500,-41.158935546875,11,2.5507646,1.0054482221603394,300,299,135,12.09758472442627,0.0007
-12.788724899291992,0.0,2000,-8.993813514709473,13,-0.53239125,1.0024420022964478,400,399,143,6.290335655212402,0.0007
-12.801198959350586,0.0,2500,72.65508270263672,16,-7.468741,1.0038578510284424,500,499,147,47.70050811767578,0.0007
-12.82469654083252,-1.1920928955078125e-07,3000,30.942663192749023,20,-0.9050221,1.0062694549560547,600,599,147,11.844104766845703,0.0007
-12.820070266723633,-3.1148905754089355,3500,-17.18912124633789,24,-0.13172172,1.0058523416519165,700,699,140,2.508074998855591,0.0007
-12.833127975463867,0.0025190114974975586,4000,-5.332741737365723,27,0.66491264,1.007567048072815,800,799,144,0.578761875629425,0.0007
-12.837982177734375,-0.23109781742095947,4500,50.88512420654297,30,0.79626244,1.007754921913147,900,899,146,29.012216567993164,0.0007
-12.838136672973633,-0.019569039344787598,5000,-90.95704650878906,33,3.9653506,1.0084589719772339,1000,999,148,71.1072998046875,0.0007
-12.872030258178711,-0.014565587043762207,5500,-46.486961364746094,38,-13.649447,1.0116772651672363,1100,1099,144,21.88695526123047,0.0007
-12.84727668762207,0.0,6000,3.7991530895233154,41,3.9809248,1.0087146759033203,1200,1199,144,28.359426498413086,0.0007
-12.821723937988281,-1.1920928955078125e-07,6500,6.642870903015137,44,0.81629604,1.0060820579528809,1300,1299,145,1.257537603378296,0.0007
-12.863702774047852,0.020671069622039795,7000,-27.0439395904541,47,1.2357343,1.010609745979309,1400,1399,146,3.795055866241455,0.0007
-12.897226333618164,-0.0027589797973632812,7500,-0.7960166931152344,51,1.5866637,1.0144662857055664,1500,1499,146,2.648226261138916,0.0007
-12.921902656555176,5.960464477539063e-08,8000,21.2758731842041,55,-3.6036005,1.0172123908996582,1600,1599,144,4.237646579742432,0.0007
-12.9337797164917,-1.1920928955078125e-07,8500,-6.424633026123047,58,-1.1763148,1.0185695886611938,1700,1699,145,0.36835557222366333,0.0007
-12.970751762390137,0.0,9000,98.87837219238281,61,1.3687749,1.0228772163391113,1800,1799,146,68.11036682128906,0.0007
-12.956364631652832,0.0,9500,-75.39501190185547,64,15.783371,1.0212228298187256,1900,1899,147,68.18309783935547,0.0007
-13.006124496459961,0.0,10000,-1.6909008026123047,68,0.23705664,1.027479648590088,2000,1999,145,2.05839204788208,0.0007
-13.007403373718262,0.0,10500,-13.386357307434082,72,0.30680364,1.027370572090149,2100,2099,145,1.9578596353530884,0.0007
-13.02149486541748,-1.1920928955078125e-07,11000,3.838860034942627,75,1.2684029,1.0290230512619019,2200,2199,146,1.2224740982055664,0.0007
-13.001699447631836,0.0,11500,-11.838396072387695,78,-3.226354,1.0263506174087524,2300,2299,147,1.2925825119018555,0.0007
-12.999850273132324,1.1920928955078125e-07,12000,6.396039009094238,81,-3.9417658,1.0263113975524902,2400,2399,146,2.260753631591797,0.0007
-13.000012397766113,0.0,12500,49.49011993408203,86,5.3900013,1.02668035030365,2500,2499,145,32.32064437866211,0.0007
-13.024914741516113,0.0,13000,12.781492233276367,89,0.09444695,1.02946937084198,2600,2599,146,1.6322075128555298,0.0007
-13.029484748840332,5.960464477539063e-08,13500,64.79332733154297,91,0.51467603,1.0300222635269165,2700,2699,146,29.851604461669922,0.0007
-13.031942367553711,0.0,14000,-2.2085609436035156,94,-0.5987415,1.030184030532837,2800,2799,147,0.7802876830101013,0.0007
-13.043153762817383,0.0,14500,-40.1872673034668,99,-0.74999756,1.0312771797180176,2900,2899,145,10.175271987915039,0.0007
-13.038797378540039,1.1920928955078125e-07,15000,-9.460749626159668,102,-0.5172859,1.030962347984314,3000,2999,145,2.416503429412842,0.0007
-13.052477836608887,0.0,15500,13.764019966125488,105,-21.959259,1.0326255559921265,3100,3099,146,7.143983364105225,0.0007
-13.042851448059082,1.1920928955078125e-07,16000,191.5542755126953,108,4.8343387,1.031303882598877,3200,3199,146,333.44818115234375,0.0007
-13.02656364440918,0.0,16500,21.99150848388672,112,0.42913467,1.0295255184173584,3300,3299,146,3.3360562324523926,0.0007
-13.032279968261719,0.0,17000,-53.982749938964844,116,2.0499585,1.0301806926727295,3400,3399,145,16.80807876586914,0.0007
-13.05516242980957,-1.1920928955078125e-07,17500,-48.8289794921875,119,0.32067284,1.0328657627105713,3500,3499,146,14.756851196289062,0.0007
-13.047399520874023,0.0,18000,8.135112762451172,122,-0.8036165,1.0318490266799927,3600,3599,146,1.8660978078842163,0.0007
-13.060534477233887,0.0,18500,-14.604660034179688,125,1.196326,1.0337116718292236,3700,3699,146,5.208781719207764,0.0007
-13.07958698272705,5.960464477539063e-08,19000,36.23538589477539,130,-2.5061052,1.035524845123291,3800,3799,145,123.09529113769531,0.0007
-13.092793464660645,0.0,19500,-4.168265342712402,133,0.5186347,1.0369763374328613,3900,3899,145,0.2372032105922699,0.0007
-13.109517097473145,0.0,20000,0.5667831301689148,136,0.42923504,1.0387535095214844,4000,3999,146,1.384095549583435,0.0007
-13.160942077636719,0.0,20500,5.900025844573975,139,-0.6301818,1.0448346138000488,4100,4099,146,0.5355719327926636,0.0007
-13.143099784851074,0.0,21000,-4.996916770935059,144,-4.0844646,1.042593240737915,4200,4199,145,1.0145270824432373,0.0007
-13.175025939941406,0.0,21500,38.136024475097656,147,-6.443632,1.0466111898422241,4300,4299,145,14.06775188446045,0.0007
-13.158065795898438,0.0,22000,-56.98651885986328,150,-1.7692196,1.0445319414138794,4400,4399,145,22.9808349609375,0.0007
-13.15678596496582,-0.1472867727279663,22500,-28.442310333251953,153,-1.4743501,1.0448102951049805,4500,4499,146,9.826054573059082,0.0007
-13.154559135437012,0.0,23000,7.618859767913818,157,0.15285216,1.0441004037857056,4600,4599,145,0.5513356328010559,0.0007
-13.118843078613281,0.0,23500,6.9967474937438965,161,-0.026456568,1.0396435260772705,4700,4699,145,0.9471486806869507,0.0007
-13.127397537231445,0.0,24000,30.35595703125,164,0.59487236,1.0412472486495972,4800,4799,145,8.873220443725586,0.0007
-13.134416580200195,0.0,24500,-18.698875427246094,168,0.21791318,1.0418825149536133,4900,4899,145,5.049119472503662,0.0007
-13.080068588256836,-1.1920928955078125e-07,25000,64.6983413696289,171,1.7132146,1.035383701324463,5000,4999,146,38.424110412597656,0.0007
-13.058427810668945,0.0,25500,135.0690460205078,175,-13.18307,1.0333561897277832,5100,5099,144,118.31852722167969,0.0007
-13.070039749145508,-64.17375183105469,26000,-33.693790435791016,178,-0.0128075285,1.0342108011245728,5200,5199,145,9.489084243774414,0.0007
-13.110852241516113,0.0,26500,-54.99614715576172,181,2.9725664,1.039427638053894,5300,5299,145,20.62928009033203,0.0007
-13.117691040039062,0.0,27000,-54.611717224121094,184,1.9618146,1.0400886535644531,5400,5399,146,18.473617553710938,0.0007
-13.167724609375,0.05932450294494629,27500,41.31886291503906,188,0.2747017,1.0463039875030518,5500,5499,145,12.63587474822998,0.0007
-13.192377090454102,0.0,28000,-137.10897827148438,192,5.51174,1.0492979288101196,5600,5599,145,184.25918579101562,0.0007
-13.190292358398438,0.0,28500,-348.53057861328125,195,19.965054,1.048668622970581,5700,5699,145,788.1192626953125,0.0007
-13.164283752441406,0.37843865156173706,29000,-9.326032638549805,198,0.29449716,1.045697808265686,5800,5799,145,1.4116028547286987,0.0007
-13.174654006958008,0.0,29500,-31.082202911376953,202,0.5435307,1.046893835067749,5900,5899,146,5.60231876373291,0.0007
-13.185211181640625,1.1920928955078125e-07,30000,12.139791488647461,206,-0.8244312,1.0476264953613281,6000,5999,145,2.560127019882202,0.0007
-13.184455871582031,0.0,30500,-13.670100212097168,209,2.7804663,1.048586130142212,6100,6099,145,2.9043173789978027,0.0007
