,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,24.565696716308594,15.425999641418457,26.477500915527344,40.70946502685547,14.620667457580566,27.332500457763672,15.425999641418457,26.477500915527344,46.7599983215332,14.620667457580566,27.860000610351562,15.737500190734863,26.790000915527344,47.41999816894531,14.883333206176758,26.837499618530273,15.347999572753906,26.393999099731445,46.540000915527344,14.21733283996582,27.84749984741211,15.628999710083008,26.6299991607666,46.65999984741211,14.857999801635742,212818400,55664000,26480000,27913900,71466000
2015-01-05,23.87364387512207,15.10949993133545,25.972999572753906,40.3350944519043,14.005999565124512,26.5625,15.10949993133545,25.972999572753906,46.33000183105469,14.005999565124512,27.162500381469727,15.418999671936035,26.399499893188477,46.72999954223633,14.433333396911621,26.352500915527344,15.042499542236328,25.887500762939453,46.25,13.810667037963867,27.072500228881836,15.350500106811523,26.357500076293945,46.369998931884766,14.303333282470703,257142000,55484000,41182000,39673900,80527500
2015-01-06,23.875885009765625,14.76449966430664,25.332000732421875,39.743099212646484,14.085332870483398,26.565000534057617,14.76449966430664,25.332000732421875,45.650001525878906,14.085332870483398,26.857500076293945,15.149999618530273,26.06049919128418,46.75,14.279999732971191,26.157499313354492,14.619000434875488,25.27750015258789,45.540000915527344,13.61400032043457,26.635000228881836,15.112000465393066,26.024999618530273,46.380001068115234,14.003999710083008,263188400,70380000,54456000,36447900,93928500
2015-01-07,24.210681915283203,14.920999526977539,25.25749969482422,40.24803924560547,14.063332557678223,26.9375,14.920999526977539,25.25749969482422,46.22999954223633,14.063332557678223,27.049999237060547,15.064000129699707,25.574499130249023,46.459999084472656,14.3186674118042,26.674999237060547,14.766500473022461,25.1825008392334,45.4900016784668,13.985333442687988,26.799999237060547,14.875,25.547500610351562,45.97999954223633,14.223333358764648,160423600,52806000,46918000,29114100,44526000
2015-01-08,25.140907287597656,15.02299976348877,25.345500946044922,41.43206787109375,14.041333198547363,27.97249984741211,15.02299976348877,25.345500946044922,47.59000015258789,14.041333198547363,28.037500381469727,15.156999588012695,25.375,47.75,14.25333309173584,27.174999237060547,14.805500030517578,24.750999450683594,46.720001220703125,14.000666618347168,27.3075008392334,15.015999794006348,25.07550048828125,46.75,14.187333106994629,237458000,61768000,73054000,29645200,51637500
2015-01-09,25.16787338256836,14.846500396728516,25.035999298095703,41.083831787109375,13.77733325958252,28.002500534057617,14.846500396728516,25.035999298095703,47.189998626708984,13.77733325958252,28.3125,15.143500328063965,25.43000030517578,47.81999969482422,13.998666763305664,27.552499771118164,14.833999633789062,24.9325008392334,46.900001525878906,13.663999557495117,28.167499542236328,15.074000358581543,25.409000396728516,47.61000061035156,13.928000450134277,214798000,51848000,42000000,23944200,70024500
2015-01-12,24.5477237701416,14.570500373840332,24.85300064086914,40.570167541503906,13.480667114257812,27.3125,14.570500373840332,24.85300064086914,46.599998474121094,13.480667114257812,28.157499313354492,14.92549991607666,25.013999938964844,47.540000915527344,13.631333351135254,27.200000762939453,14.46399974822998,24.545499801635742,46.36000061035156,13.283332824707031,28.149999618530273,14.878000259399414,24.961999893188477,47.41999816894531,13.536666870117188,198603200,68428000,57138000,23651900,89254500
2015-01-13,24.765676498413086,14.737000465393066,25.09000015258789,40.361228942871094,13.616666793823242,27.55500030517578,14.737000465393066,25.09000015258789,46.36000061035156,13.616666793823242,28.200000762939453,15.074999809265137,25.43000030517578,47.90999984741211,13.840666770935059,27.227500915527344,14.661499977111816,24.863000869750977,46.060001373291016,13.394000053405762,27.857500076293945,14.87399959564209,25.12849998474121,46.970001220703125,13.554667472839355,268367600,82728000,60958000,35270600,67159500
